Monetary policy stance,Sentence,Central bank,Country
dovish,"Several members pointed out that sentiment towards Hungary had deteriorated, which contributed to the rise in the risk premium for holding forint denominated assets.",Hungarian National Bank,Hungary
dovish,"Several members noted that, according to the evidence of third-quarter data, the slowdown in economic growth had been slightly stronger than expected and that the future outlook for the economy had deteriorated somewhat, due to the worsening in external business conditions.",Hungarian National Bank,Hungary
dovish,"In this respect, some members noted that if the risks associated with the short-term path of inflation diminished, then monetary policy should pay more attention in the future to risks of a potentially sharp slowdown in the economy.",Hungarian National Bank,Hungary
dovish,The overwhelming majority of members agreed that the Council would have scope for reducing interest rates further if future economic conditions reflected a reduction in the risk of higher inflation transmitted through expectations and an improvement in international investor sentiment towards the Hungarian economy.,Hungarian National Bank,Hungary
dovish,"Based on employment data, labour market conditions had eased.",Hungarian National Bank,Hungary
dovish,"Members judged that domestic economic developments were worse than thought previously, and that the most important components of domestic demand had not yet shown clear signs of a turnaround.",Hungarian National Bank,Hungary
dovish,Council members agreed that there had been a significant deterioration in the prospects for domestic growth recently.,Hungarian National Bank,Hungary
dovish,"The decline in demand, coupled with the more persistent effect of fiscal adjustment measures than earlier thought, could contribute to the disinflation process continuing.",Hungarian National Bank,Hungary
dovish,"Several members pointed out that, as an effect of the financial market disruption, there had been a sustained fall in international investors? willingness to take risks.",Hungarian National Bank,Hungary
dovish,"Several members noted that, due to the poor economic prospects, the country?s vulnerability had increased, despite a fall in the external financing requirement.",Hungarian National Bank,Hungary
dovish,"In the members? judgement, the prospects for growth had not improved materially recently.",Hungarian National Bank,Hungary
dovish,"According to the members? opinion, the prospective rate of growth of the Hungarian economy continues to slightly lag behind its potential.",Hungarian National Bank,Hungary
dovish,"Some Council members thought that in parallel with the appreciation of the real exchange rate, economic prospects had further deteriorated in the previous period due to decreased export demand and increased import competition, which may lead to higher unemployment.",Hungarian National Bank,Hungary
dovish,"Looking ahead, a pick-up in external demand was unlikely to be a driver of economic recovery over the medium term, due to the deterioration in the outlook for business activity in Europe and at the international level.",Hungarian National Bank,Hungary
dovish,Members? judged that the prospects for growth had not improved materially compared with previous months and that the domestic macroeconomic environment was basically supportive of disinflation.,Hungarian National Bank,Hungary
dovish,"Several members noted that there had been further deceleration in global economic activity and, therefore, external demand was unlikely to contribute to a pick-up in domestic economic growth.",Hungarian National Bank,Hungary
dovish,"Following discussion of the latest macroeconomic news and financial market developments, members of the Council agreed that the outlook for inflation had improved recently, due to the worsening prospects for the global economy.",Hungarian National Bank,Hungary
dovish,Members judged that the decline in foreign currency lending by commercial banks would pose a severe problem.,Hungarian National Bank,Hungary
dovish,"Members agreed that due to slackening domestic and external demand as well as the fall in commodity prices, inflation might fall significantly below target in 2010. ",Hungarian National Bank,Hungary
dovish,"However, with the easing in global financial turbulence and the conclusion of the agreement with the IMF, the Bank should have more scope to reduce interest rates.",Hungarian National Bank,Hungary
dovish,"In this respect, several members pointed out that the expected decline of corporate production and the deterioration of profitability should result in the gradual shrinking of the balance of payments deficit, which might mitigate external vulnerability.",Hungarian National Bank,Hungary
dovish,"In the Council?s judgement, the prospects for growth in Europe were likely to deteriorate and the economy was expected to fall into a protracted recession.",Hungarian National Bank,Hungary
dovish,"Members agreed that the inflation target was likely to be undershot, assuming that monetary conditions remained unchanged.",Hungarian National Bank,Hungary
dovish,"Members of the Council agreed that the global economic environment and the prospects for growth both had deteriorated more sharply than expected, and the current recession may consequently be deeper and more protracted. ",Hungarian National Bank,Hungary
dovish,Some members warned that the country?s relative position had even deteriorated further compared with Poland and the Czech Republic.,Hungarian National Bank,Hungary
dovish,"In addition to the latest available inflation data, adjustment by firms through wages and employment also pointed to a reduction in upside risks to inflation.",Hungarian National Bank,Hungary
dovish,"Monetary Council members agreed that, in the current recessionary environment, the Bank?s 3% target for inflation was likely to be met on the horizon relevant for monetary policy.",Hungarian National Bank,Hungary
dovish,"In the current recessionary environment, a negative output gap and below-target inflation could be expected over the medium term.",Hungarian National Bank,Hungary
dovish,"In addition, several members noted that decelerating the decline in real economic activity, preventing a further narrowing of credit supply and easing the conditions for forint lending also made it necessary to reduce interest rates.",Hungarian National Bank,Hungary
dovish,Some members noted that the outlook for growth in the global economy remained uncertain and it was difficult to tell whether the downturn would entail just one or more dips. ,Hungarian National Bank,Hungary
dovish,"Referring to consumption and retail sales data, several members noted that in the economic environment characterised by subdued demand, inflation might continue to fall on the horizon relevant for monetary policy.",Hungarian National Bank,Hungary
dovish,"In the Council?s judgement, the outlook for the real economy had not improved, and the risk that domestic macroeconomic consolidation would take longer than elsewhere in Europe had increased.",Hungarian National Bank,Hungary
dovish,"Monetary Council members agreed that in the current economic environment characterised by subdued demand, the outlook for inflation allowed the Bank to reduce the base rate further.",Hungarian National Bank,Hungary
dovish,Market optimism had deteriorated in the past two weeks. ,Hungarian National Bank,Hungary
dovish,"Monetary Council members agreed that there had clearly been a reduction in investors? perceptions of risks in March, which made it possible for the Council continue the easing cycle justified by macroeconomic fundamentals.",Hungarian National Bank,Hungary
dovish,"Several members, however, argued that reducing interest rates in a sequence of small steps might better facilitate achievement of the Bank?s long-term monetary policy objectives.",Hungarian National Bank,Hungary
dovish,The vast majority of Council members were of the view that in the current situation neither the requirements of inflation targeting nor assessments of risks facing the economy allowed for a reduction in interest rates.,Hungarian National Bank,Hungary
dovish,"Some thought that the trend inflation measures, indicating a sustained fall in inflation, as well as better-than-expected readings of recent tradables inflation suggested that upside risks to inflation may have fallen since May.",Hungarian National Bank,Hungary
dovish,Monetary Council members agreed that ? despite the pick-up in economic growth this year ? output would remain below its potential level and the unemployment rate would remain elevated on the horizon relevant for monetary policy.,Hungarian National Bank,Hungary
dovish,"Accompanied by constrained credit supply, household saving might remain high, which might act as a brake on inflation on the demand side.",Hungarian National Bank,Hungary
dovish,Some members took the view that the lower-than-expected GDP data suggested the output gap might be larger than projected in the Report.,Hungarian National Bank,Hungary
dovish,"In addition to forced savings related to rising monthly instalments on loans, households? willingness to borrow may have fallen and, therefore, the sector?s net lending was likely to rise on a sustained basis.",Hungarian National Bank,Hungary
dovish,"For several members, the decline in wage inflation was a positive development, which ? if it proved lasting ? could have a benign impact on inflation expectations and the long-term outlook for monetary policy.",Hungarian National Bank,Hungary
dovish,Weak domestic demand continued to exert a dampening impact on inflation.,Hungarian National Bank,Hungary
dovish,"On another argument, loose labour market conditions, slower-than-expected earnings growth and the continued sharp adjustment by households were factors contributing to a further decline in inflation.",Hungarian National Bank,Hungary
dovish,"On another argument, however, core inflation was lower than the path outlined in the November projection, due to the slower pass-through of the unprocessed food price shock, which was positive news in terms of the longer-term outlook for inflation.",Hungarian National Bank,Hungary
dovish,"It was noted that weaker-than-expected demand was mainly attributable to two factors: the slowdown in earnings growth, closely related to the loose labour market, and the increase in instalments on household debt, driven by the appreciation of the Swiss franc.",Hungarian National Bank,Hungary
dovish,Weaker-than-expected domestic demand posed downside risks.,Hungarian National Bank,Hungary
dovish,Members agreed that slack domestic demand and the negative output gap continued to be the most important factors contributing to the disinflation process.,Hungarian National Bank,Hungary
dovish,"In terms of macroeconomic developments, several members noted that the downward effect on prices of weak domestic demand, driven in part by loose labour market conditions, had taken hold.",Hungarian National Bank,Hungary
dovish,"One member noted that by restraining administered price rises, the Government?s anti-inflation policy had greatly contributed to inflation falling to historically low levels.",Hungarian National Bank,Hungary
dovish,"However, the latest domestic and international data on real economic performance had caused a negative surprise worldwide.",Hungarian National Bank,Hungary
dovish,"Weaker-than-expected global and European activity had been reflected in the performance of the Hungarian export sector, consumption and investment activity and subdued net inflows of foreign direct investment.",Hungarian National Bank,Hungary
dovish,"Repayment burdens prompted households to adjust their balance sheets and, as a result, a further decline in domestic purchasing power could not be ruled out over the short term.",Hungarian National Bank,Hungary
dovish,The slowdown in external demand was already reflected in domestic macroeconomic data.,Hungarian National Bank,Hungary
dovish,"Some members felt that the announcement by Moody?s that it had downgraded Hungary?s sovereign debt to sub-investment grade was an unexpected move, in light of the fact that it came after the Government had announced its intention to begin talks with the IMF.",Hungarian National Bank,Hungary
dovish,"The risks of a further decline in potential growth may have increased, due to companies delaying investment plans.",Hungarian National Bank,Hungary
dovish,The level of output would remain below its potential over the entire period.,Hungarian National Bank,Hungary
dovish,"One member firmly rejected the option of raising interest rates and argued in favour of reducing rates, as an interest rate increase would send the economy into recession, which would add to inflation through spiralling effects rather than reducing it.",Hungarian National Bank,Hungary
dovish,Members agreed that the significantly weaker-than-expected preliminary first-quarter GDP data may have reflected in part transient factors affecting some sectors of the economy and the faster-than-anticipated weakening in recent economic performance.,Hungarian National Bank,Hungary
dovish,The sharp deterioration in the external environment worsened the short-term outlook for exports. ,Hungarian National Bank,Hungary
dovish,"One member noted that the price of crude oil, a key factor in terms of domestic inflation developments, had fallen in recent months due to the slowdown in global activity and further declines in oil prices could not be ruled out.",Hungarian National Bank,Hungary
dovish,Members agreed that the current level of the central bank base rate placed a significant burden on the real economy.,Hungarian National Bank,Hungary
dovish,The majority view of the Council was that it was time to act in the interests of growth.,Hungarian National Bank,Hungary
dovish,"The majority view was that the inflation target could be met on the horizon relevant for policy, given the strong disinflationary impact of significantly below-potential growth.",Hungarian National Bank,Hungary
dovish,"In terms of the Council?s future interest rate decisions, members agreed that the Council should consider a further reduction in interest rates if data in the coming months confirmed that the improvement in financial market sentiment persisted and the medium-term outlook for inflation remained consistent with the 3% target. ",Hungarian National Bank,Hungary
dovish,"In the Monetary Council?s judgement, the Hungarian economy was in recession and external and domestic factors both pointed to weak growth in the period ahead.",Hungarian National Bank,Hungary
dovish,"Balance-sheet deleveraging by economic agents would continue, with consumption and investment likely to fall further, mainly due to tight credit conditions and the uncertain business environment, followed by a gradual recovery from 2014. ",Hungarian National Bank,Hungary
dovish,Inflation in January had slowed more sharply than expected.,Hungarian National Bank,Hungary
dovish,"In the Council?s judgement, the economic data becoming available in the past month suggested that subdued demand continued to exert a strong disinflationary impact on prices.",Hungarian National Bank,Hungary
dovish,"Council members agreed that the gradual reduction in debt stocks accumulated during the years prior to the crisis, the generally tight credit conditions and the uncertainty surrounding the outlook for activity all pointed to cautious investment and consumption decisions.",Hungarian National Bank,Hungary
dovish,Reductions in utilities prices at the start of the year had led to a material slowdown in consumer price inflation.,Hungarian National Bank,Hungary
dovish,The annual price index had fallen below the Bank?s 3% target by February.,Hungarian National Bank,Hungary
dovish,"The Council expected weak demand conditions to persist, ensuring that inflationary pressures in the economy remained low in the period ahead. ",Hungarian National Bank,Hungary
dovish,"With a wider cyclical position, the ability of companies to pass on cost shocks into prices was more limited and the inflationary impact of cost shocks to companies was smaller, which in turn might warrant a further, substantial easing of policy.",Hungarian National Bank,Hungary
dovish,"Consequently, a more accommodating monetary policy would ensure that the 3% inflation target was achieved.",Hungarian National Bank,Hungary
dovish,"In the Council?s judgement, the Hungarian economy was characterised by significant unused capacity, and inflationary pressures were likely to remain moderate over the medium term.",Hungarian National Bank,Hungary
dovish,"In the Council?s judgement, the significant reductions in interest rates so far and the volatile conditions in financial markets might justify changing the pace or extent of policy easing in the coming months.",Hungarian National Bank,Hungary
dovish,"Looking forward, companies? efforts to rebuild profitability, loose labour market conditions and the adjustment of inflation expectations were expected to lead to moderate earnings growth.",Hungarian National Bank,Hungary
dovish,"Overall, demand was likely to remain below the productive capacity of the economy, and therefore the real economic environment was expected to remain disinflationary looking ahead. ",Hungarian National Bank,Hungary
dovish,The negative output gap might close at the end of the forecast horizon.,Hungarian National Bank,Hungary
dovish,"In the Council?s judgement, there remained a significant degree of unused capacity in the economy.",Hungarian National Bank,Hungary
dovish,Subdued wage dynamics suggested that companies were adjusting to higher production costs mainly through the labour market.,Hungarian National Bank,Hungary
dovish,"In view of the above, Council members agreed that developments in inflation and the real economy were consistent with a further easing in monetary conditions.",Hungarian National Bank,Hungary
dovish,"The productive capacity of the economy continued to be lower than optimal, with the output gap remaining negative.",Hungarian National Bank,Hungary
dovish,The level of output remained below its potential and was likely to approximate that level again at the end of the horizon relevant for monetary policy.,Hungarian National Bank,Hungary
dovish,"The unemployment rate was falling, but still exceeded its long-term level determined by structural factors.",Hungarian National Bank,Hungary
dovish,Delivering price stability in the medium term pointed in the direction of monetary easing. ,Hungarian National Bank,Hungary
dovish,The persistently low inflation environment might provide a firmer anchor for inflation expectations. ,Hungarian National Bank,Hungary
dovish,"Household consumption, however, which was relevant in terms of inflationary pressures from the domestic real economy, was likely to grow only slowly, and therefore the real economic environment was expected to continue to have a disinflationary impact, although to a declining extent.",Hungarian National Bank,Hungary
dovish,"Global investor sentiment had been volatile in the past quarter, reflecting the Fed?s decision to further reduce the pace of its asset purchases, the increased focus on the vulnerability of some emerging economies and the escalation of the conflict between Ukraine and Russia.",Hungarian National Bank,Hungary
dovish,"Several Council members noted that they perceived continued downside risks to external inflation, particularly in the euro area, which could provide room for further cautious easing of policy.",Hungarian National Bank,Hungary
dovish,Several Council members noted that the latest inflation data pointed towards further cautious policy easing.,Hungarian National Bank,Hungary
dovish,"In the alternative scenario assuming a persistently low external inflation environment and a slower-than- expected recovery in external demand, the inflation target might be achieved with looser monetary conditions than assumed in the baseline scenario.",Hungarian National Bank,Hungary
dovish,"Based on the inflation data for June, consumer prices continued to show historically low dynamics.",Hungarian National Bank,Hungary
dovish,Several members briefly reviewed the macroeconomic effects of the Bank?s easing cycle that had begun in August 2012 and agreed that there remained scope for some policy easing.,Hungarian National Bank,Hungary
dovish,"Domestic real economic and labour market factors continued to have a disinflationary impact, and low inflation was likely to persist for a sustained period.",Hungarian National Bank,Hungary
dovish,"Monetary conditions remained loose overall and, consequently, global interest rate and liquidity conditions continued to be supportive.",Hungarian National Bank,Hungary
dovish,"In the first half of the forecast period, domestic inflation was likely to be substantially below the target, mainly reflecting cost shocks having downside effects on inflation as well as the weak demand and inflation environment in Hungary?s major trading partner countries.",Hungarian National Bank,Hungary
dovish,"Based on the inflation data for December, consumer prices showed historically low dynamics.",Hungarian National Bank,Hungary
dovish,The continued decline in oil prices and the fall in processed food prices had contributed to the further easing in inflation.,Hungarian National Bank,Hungary
dovish,"Global sentiment had deteriorated significantly around the end of the year, due to the turbulence in Russian financial markets and the political events in Greece.",Hungarian National Bank,Hungary
dovish,"Monetary conditions remained loose overall and, consequently, global interest rate and liquidity conditions continued to be supportive.",Hungarian National Bank,Hungary
dovish,"Lasting geopolitical tensions could lead to a decline in external demand, associated with a rise in the risk premium.",Hungarian National Bank,Hungary
dovish,"Overall, moderate underlying inflation developments continued to point in the direction of a low inflation environment.",Hungarian National Bank,Hungary
dovish,International investor sentiment had been mostly unfavourable in the period since the Council?s latest interest rate decision.,Hungarian National Bank,Hungary
dovish,"Growth had been slightly slower than projected in the June Inflation Report, presumably as a result of the weaker agricultural output. ",Hungarian National Bank,Hungary
dovish,Most major emerging market economies were decelerating.,Hungarian National Bank,Hungary
dovish,Economic growth was expected to slow in early 2016 as EU transfers decline.,Hungarian National Bank,Hungary
dovish,The persistently low cost environment contained the increase in the consumer price index.,Hungarian National Bank,Hungary
dovish,"A degree of unused capacity remained in the economy, and therefore the domestic real economic environment continued to have a disinflationary impact. ",Hungarian National Bank,Hungary
dovish,Inflation expectations had fallen to a historic low.,Hungarian National Bank,Hungary
dovish,Hungarian economic growth had continued at a weaker-than-expected rate in the third quarter of 2015.,Hungarian National Bank,Hungary
dovish,There had been a marked fall in oil prices recently.,Hungarian National Bank,Hungary
dovish,"In view of the March Inflation Report projection, the Council assessed that the sustainable achievement of the inflation target had made it necessary to implement a comprehensive easing of monetary conditions.",Hungarian National Bank,Hungary
dovish,"The unconventional, targeted monetary policy instruments introduced by the Bank facilitated a decline in long-term yields and, consequently, an easing in monetary conditions.",Hungarian National Bank,Hungary
dovish,"Taking these factors into account, all members supported the reduction in the base rate.",Hungarian National Bank,Hungary
dovish,Industrial production had fallen in September compared to a year earlier.,Hungarian National Bank,Hungary
dovish,Forward-looking domestic money market real interest rates had fallen substantially over recent years and were expected to remain in negative territory for a prolonged period.,Hungarian National Bank,Hungary
dovish,The Monetary Council expected that this decision would mean the crowding out of at least HUF 100- 200 billion additional liquidity from the deposit facility.,Hungarian National Bank,Hungary
dovish,The Bank aimed to ease monetary conditions and provide a corresponding degree of support to the economy through a decline in money market rates.,Hungarian National Bank,Hungary
dovish,The Bank continued to aim to maintain loose monetary conditions and provide a corresponding degree of support to the economy through money market rates.,Hungarian National Bank,Hungary
dovish,The upward effect of this on costs was likely to be offset by the reduction in employers? social contributions and in the corporate income tax rate.,Hungarian National Bank,Hungary
dovish,"As a consequence, the three-month BUBOR had remained at a historically low level.",Hungarian National Bank,Hungary
dovish,"In May 2017, inflation had eased to 2.1 percent.",Hungarian National Bank,Hungary
dovish,"In the euro area, market expectations on the interest rate path had shifted down.",Hungarian National Bank,Hungary
dovish,"Moderate imported inflation and historically low inflation expectations as well as the VAT rate cuts, announced for next year, had been slowing the rise in domestic prices.",Hungarian National Bank,Hungary
dovish,"External inflation, particularly in the euro area, was likely to remain low for a prolonged period.",Hungarian National Bank,Hungary
dovish,"Moderate imported inflation and historically low inflation expectations as well as the VAT rate cuts, announced for next year, were slowing the rise in domestic prices.",Hungarian National Bank,Hungary
dovish,"To ensure this, in November 2017, the Council had decided to introduce two unconventional instruments from January 2018, which would constitute an integral part of the Bank?s set of monetary policy instruments.",Hungarian National Bank,Hungary
dovish,"In addition, the Magyar Nemzeti Bank would launch a targeted programme aimed at purchasing mortgage bonds with maturities of three years or more.",Hungarian National Bank,Hungary
dovish,"The MNB would continue the mortgage bond purchases and the monetary policy interest rate swap facility as programmes, continuously and for a prolonged period, thus they constituted integral part of the set of monetary policy instruments.",Hungarian National Bank,Hungary
dovish,"In the past period, several regional central banks had sent a message indicating a looser policy stance.",Hungarian National Bank,Hungary
dovish,"In line with the Council?s forward guidance, the current set of instruments contributed efficiently to the maintenance of the loose monetary conditions over a prolonged period and to an improvement in financial stability.",Hungarian National Bank,Hungary
dovish,"With inflation expectations anchored at low levels, higher oil prices were unlikely to generate second-round effects.",Hungarian National Bank,Hungary
dovish,"As a consequence, appetite for risk in emerging markets had deteriorated.",Hungarian National Bank,Hungary
dovish,"The Monetary Council would launch the FGS fix with a total amount of HUF 1,000 billion in early 2019.",Hungarian National Bank,Hungary
dovish,"Due to the deteriorating economic outlook in Europe and downside risks to inflation related to the euro area, the European Central Bank (ECB) had modified its forward guidance. ",Hungarian National Bank,Hungary
dovish,"Consequently, the first interest rate hike had been shifted to a later date.",Hungarian National Bank,Hungary
dovish,The ECB would launch a new series of quarterly targeted longer-term refinancing operations (TLTRO-III) to improve the effectiveness of monetary policy transmission and to maintain favourable bank lending conditions.,Hungarian National Bank,Hungary
dovish,Weakening external activity was restraining the pace of price increase.,Hungarian National Bank,Hungary
dovish,The significantly lower-than-expected core inflation excluding indirect tax effects and the effects of the slowdown in European economic activity indicated a strengthening in downside risks to the longer-term outlook for inflation.,Hungarian National Bank,Hungary
dovish,"To improve the effectiveness of monetary policy transmission, the Monetary Council had launched its corporate bond purchasing programme.",Hungarian National Bank,Hungary
dovish,"The amount of the Hungarian Government Security Plus purchased had continued to be considerable, more than half of which had been registered as a new source of financing for the government sector.",Hungarian National Bank,Hungary
dovish,"The emergence of the coronavirus was likely to increase uncertainty in the coming months, which could lead to a deterioration in global growth prospects again and an increase in risk aversion in emerging markets.",Hungarian National Bank,Hungary
dovish,The spread of the virus could again lead to a deterioration in global growth prospects and an increase in risk aversion in emerging markets.,Hungarian National Bank,Hungary
dovish,"Overall, sentiment in international financial markets had rather deteriorated since the Council?s previous interest rate decision.",Hungarian National Bank,Hungary
dovish,The coronavirus pandemic had hit the global economy in a weakened state; its negative economic effects had appeared quickly in a wide range of countries. ,Hungarian National Bank,Hungary
dovish,"In a much more uncertain than usual and volatile environment, it was the task of economic policy to mitigate the effects on real economy, to lay the foundations for economic recovery and to foster social cohesion.",Hungarian National Bank,Hungary
dovish,There had been an enormous deterioration in sentiment in global financial markets: markets had been characterised by a general increase in risk aversion and selling pressure.,Hungarian National Bank,Hungary
dovish,The spread of the pandemic resulted in a rapid decline in expected inflation.,Hungarian National Bank,Hungary
dovish,"Council Members pointed out that, as a result of the coronavirus pandemic, the economic situation had changed profoundly, and the outlook was deteriorating day by day.",Hungarian National Bank,Hungary
dovish,"These measures aimed to provide the required amount of liquidity for all economic agents, including households, non-financial corporations, the banking system and the government budget.",Hungarian National Bank,Hungary
dovish,Capital outflows had continued in emerging markets.,Hungarian National Bank,Hungary
dovish,"The MNB?s government securities purchases would take place in the secondary market, and might be conducted at auctions organised by the Bank and in individual secondary market transactions. ",Hungarian National Bank,Hungary
dovish,Mortgage bond purchases would take place in the primary and the secondary markets. ,Hungarian National Bank,Hungary
dovish,Members pointed out that external economic activity had slowed down substantially as a result of the coronavirus pandemic.,Hungarian National Bank,Hungary
dovish,"To maintain price stability and support the recovery of economic growth, fine-tuning of monetary conditions had become necessary.",Hungarian National Bank,Hungary
dovish,Disinflationary effects had strengthened generally.,Hungarian National Bank,Hungary
dovish,The Federal Reserve had continued its liquidity-providing and asset purchase programmes.,Hungarian National Bank,Hungary
dovish,"The European Central Bank had raised the total amount of its asset purchase programme (PEPP), had launched to counteract the effects of the pandemic, to EUR 1,350 billion and had extended its horizon.",Hungarian National Bank,Hungary
dovish,"In our region, the decision-makers at the Czech and the Polish central banks had cut the policy rates to close to zero as well.",Hungarian National Bank,Hungary
dovish,"Based on the projection in the June Inflation Report, Hungarian economic performance in 2020 was likely to be more subdued than earlier expected, while the outlook for inflation had shifted downwards persistently.",Hungarian National Bank,Hungary
dovish,"At its current policy meeting, to maintain price stability and to support the restoration of economic growth, the Monetary Council had reduced the base rate by 15 basis points to 0.60 percent.",Hungarian National Bank,Hungary
dovish,"In order to ensure this, the Bank had reintroduced its swap facility providing foreign currency liquidity in September.",Hungarian National Bank,Hungary
dovish,"Turning to inflation developments, members agreed that after the higher repricing during the summer months, disinflationary effects had strengthened from September. ",Hungarian National Bank,Hungary
dovish,"Due to the increasingly stronger restrictions introduced, the economic recovery was expected to be delayed.",Hungarian National Bank,Hungary
dovish,"Based on data for the third quarter, economic activity had undergone a significant correction after reaching a low point in April and May.",Hungarian National Bank,Hungary
dovish,"The MNB would continue to set the one-week deposit rate at weekly tenders, in response to the increase in risk aversion vis-a-vis emerging markets.",Hungarian National Bank,Hungary
dovish,"In the Monetary Council?s assessment, the monetary conditions established at the short end supported price stability, the preservation of financial stability and the recovery of economic growth in a sustainable manner.",Hungarian National Bank,Hungary
dovish,"In response to the adverse economic effects arising from the coronavirus pandemic, the MNB had expanded significantly the central bank balance sheet in 2020, thereby supporting the recovery of economic growth as well.",Hungarian National Bank,Hungary
dovish,The MNB would be ready to increase its balance sheet further to manage risks arising from the coronavirus pandemic and to foster the quick and sustainable recovery of economic growth in a targeted way.,Hungarian National Bank,Hungary
dovish,Global investor sentiment had deteriorated since the Council?s previous policy decision and the probability of tensions in financial markets had increased. ,Hungarian National Bank,Hungary
dovish,"Members agreed that, with the current interest rate move, the easing cycle would end.",Hungarian National Bank,Hungary
dovish,"By contrast, the ECB had decided to extend its quantitative easing programme.",Hungarian National Bank,Hungary
dovish,"Considering the first half of 2020 as a whole, the Hungarian economy had exhibited a similar decline to that seen in other countries in the region.",Hungarian National Bank,Hungary
hawkish,Members preferring a 25 basis point increase in rates judged that the latest macroeconomic data pointed to rising inflation expectations.,Hungarian National Bank,Hungary
hawkish,The continued rapid increase in services prices within the headline figure for December was highly likely to have been a consequence of increased expectations.,Hungarian National Bank,Hungary
hawkish,"Wage inflation was not yet showing signs of slowing, particularly in the services sector, which was of particular importance for future developments in inflation.",Hungarian National Bank,Hungary
hawkish,Some members emphasised that it would be appropriate to prevent a further rise in inflation expectations with a well-timed tightening and that the Council should not wait until such an increase in expectations was reflected in a sustained rise in inflation.,Hungarian National Bank,Hungary
hawkish,"Among the upward risks, the danger of an increase in inflation expectations and its effect on wage agreements were given special attention.",Hungarian National Bank,Hungary
hawkish,"The high rate of earnings growth at the end of 2006, particularly in the services sector, pointed to the existence of such risks.",Hungarian National Bank,Hungary
hawkish,Members supporting an increase in interest rates stressed that private sector wage growth had exceeded the Bank?s earlier expectations for several months now.,Hungarian National Bank,Hungary
hawkish,"In addition, inflation could peak at a higher level in 2007 due to greater-than-expected increases in administered prices earlier in the year, which might also contribute to a rise in inflation expectations and a build-up of inflationary pressure. ",Hungarian National Bank,Hungary
hawkish,The higher-than-expected rise in private sector gross wages in January could not be clearly attributed to a pick-up in wage inflation.,Hungarian National Bank,Hungary
hawkish,"In all probability, higher-than-expected gross wages in the private sector reflected an increase in inflation expectations and contributed to cost-push inflation pressures.",Hungarian National Bank,Hungary
hawkish,Data released after the Report had been finalised reinforced the view that developments in nominal wages represented upside risks to inflation.,Hungarian National Bank,Hungary
hawkish,The expected rise in energy prices would lead to higher inflation expectations.,Hungarian National Bank,Hungary
hawkish,One member warned that food prices could rise more strongly at home than internationally. ,Hungarian National Bank,Hungary
hawkish,"However, based on the latest projections issued by international organisations, high food prices could persist for some time compared to earlier expectations, which, in turn, could have adverse effects on domestic inflation developments.",Hungarian National Bank,Hungary
hawkish,"Council members agreed that upside risks to inflation had picked up further recently, driven by the acceleration of imported inflation on the back of rises in food and energy prices, as well as the expected increase in administered prices.",Hungarian National Bank,Hungary
hawkish,"Therefore, a precondition for meeting the 2009 inflation target was that the Bank should stand ready to tighten policy in order to prevent a rise in expectations, if circumstances warranted it.",Hungarian National Bank,Hungary
hawkish,"Members pointed out that the latest data showed inflation rising at a higher-than-expected rate, due to increases in processed food prices.",Hungarian National Bank,Hungary
hawkish,"Members agreed that the increase in administered prices could have an adverse effect on consumer prices, particularly in the current inflation environment.",Hungarian National Bank,Hungary
hawkish,Some members warned that the liberalisation of the energy market would also pose upside risks to the outlook for inflation.,Hungarian National Bank,Hungary
hawkish,Members agreed that the upside risks to inflation had increased significantly in recent months.,Hungarian National Bank,Hungary
hawkish,"Inflation was likely to be above target this year and the next, which underscored the need for further monetary tightening.",Hungarian National Bank,Hungary
hawkish,"Members agreed that the February projection, according to which inflation could be above target in 2009 assuming unchanged monetary conditions, should remain the starting point.",Hungarian National Bank,Hungary
hawkish,Several members stressed that energy prices had reached new historical highs recently and the moderation in food price inflation had been weaker than expected.,Hungarian National Bank,Hungary
hawkish,"Under these circumstances, decisive action could reinforce the role of the inflation target in guiding expectations, and consequently, they could reduce the real economic costs of achieving price stability.",Hungarian National Bank,Hungary
hawkish,"However, several other members stressed that available information and the logic of inflation targeting implied a continuation of the tightening cycle and further increases in interest rates in a series of small steps.",Hungarian National Bank,Hungary
hawkish,"Several members noted that the rise in international commodity prices and global inflationary pressures played a major role in this development, which, however, could be even more sustained than assumed in the May Report.",Hungarian National Bank,Hungary
hawkish,"In addition, the actions taken by the Government could make a significant contribution to an increase in the potential growth rate of the economy and to securing a sustainable debt path for the country.",Hungarian National Bank,Hungary
hawkish,"Members agreed that there were a number of signs that financial market sentiment may have turned around, with a positive shift in sentiment towards emerging countries, and Central and Eastern Europe in particular. ",Hungarian National Bank,Hungary
hawkish,Monetary Council members also agreed that there had been a sustained and significant improvement in perceptions of risks associated with the Hungarian economy over recent months and that the risk of contagion through CEE financial markets had diminished.,Hungarian National Bank,Hungary
hawkish,"Members agreed that there had been a clear, albeit previously unexpected, improvement in perceptions of risks in the past month. ",Hungarian National Bank,Hungary
hawkish,"With the favourable changes in conditions in global financial markets, CDS spreads and government bond yields in Central and Eastern European countries had fallen, and exchange rates had appreciated.",Hungarian National Bank,Hungary
hawkish,Several members agreed that the improvement in the global growth outlook pointed to a possible increase in the risk of imported inflation through a faster-than-expected rise in oil and commodity prices.,Hungarian National Bank,Hungary
hawkish,"Nevertheless, domestic developments also pointed to a higher inflation path. ",Hungarian National Bank,Hungary
